,CO_MUNICIPIO_IBGE,MUNICIPIO,Valor Liquido
1,410010, ABATIA ,1718360.9
2,410020, ADRIANOPOLIS ,1613419.75
3,410030, AGUDOS DO SUL ,2615069.78
4,410040, ALMIRANTE TAMANDARE ,8977539.53
5,410045, ALTAMIRA DO PARANA ,2389731.27
6,412862, ALTO PARAISO ,1171776.4
7,410060, ALTO PARANA ,2233087.69
8,410070, ALTO PIQUIRI ,2859426.75
9,410050, ALTONIA ,4437260.5
10,410080, ALVORADA DO SUL ,3491299.68
11,410090, AMAPORA ,3166348.72
12,410100, AMPERE ,4341152.95
13,410105, ANAHY ,1111190.65
14,410110, ANDIRA ,4068446.43
15,410115, ANGULO ,1109143.04
16,410120, ANTONINA ,5140084.84
17,410130, ANTONIO OLINTO ,2416635.84
18,410140, APUCARANA ,77490191.98
19,410150, ARAPONGAS ,20363415.03
20,410160, ARAPOTI ,4904143.53
21,410165, ARAPUA ,1127766.49
22,410170, ARARUNA ,3956282.15
23,410180, ARAUCARIA ,33585755.56
24,410185, ARIRANHA DO IVAI ,881392.99
25,410190, ASSAI ,3124414.03
26,410200, ASSIS CHATEAUBRIAND ,4688251.12
27,410210, ASTORGA ,5753935.22
28,410220, ATALAIA ,1546200.7
29,410230, BALSA NOVA ,2818199.57
30,410240, BANDEIRANTES ,3504411.23
31,410250, BARBOSA FERRAZ ,5078628.88
32,410270, BARRA DO JACARE ,954870.98
33,410260, BARRACAO ,2856637.48
34,410275, BELA VISTA DA CAROBA ,1128096.78
35,410280, BELA VISTA DO PARAISO ,3151465.44
36,410290, BITURUNA ,4859598.01
37,410300, BOA ESPERANCA ,1793869.09
38,410302, BOA ESPERANCA DO IGUACU ,936226.28
39,410304, BOA VENTURA DE SAO ROQUE ,1965924
40,410305, BOA VISTA DA APARECIDA ,2276275.79
41,410310, BOCAIUVA DO SUL ,1508511.82
42,410315, BOM JESUS DO SUL ,1498885.94
43,410320, BOM SUCESSO ,3390085.11
44,410322, BOM SUCESSO DO SUL ,617044.58
45,410330, BORRAZOPOLIS ,1780918.77
46,410335, BRAGANEY ,2190169.76
47,410337, BRASILANDIA DO SUL ,2032053.59
48,410340, CAFEARA ,1236182.3
49,410345, CAFELANDIA ,3687133.77
50,410347, CAFEZAL DO SUL ,1960007.35
51,410350, CALIFORNIA ,3508835.33
52,410360, CAMBARA ,4484964.75
53,410370, CAMBE ,16092975.69
54,410380, CAMBIRA ,2568361.71
55,410390, CAMPINA DA LAGOA ,2574843.59
56,410395, CAMPINA DO SIMAO ,2759840.01
57,410400, CAMPINA GRANDE DO SUL ,5860450.66
58,410405, CAMPO BONITO ,1232239.33
59,410410, CAMPO DO TENENTE ,2293606.14
60,410420, CAMPO LARGO ,16712129.2
61,410425, CAMPO MAGRO ,3522271.99
62,410430, CAMPO MOURAO ,80690886.15
