IBGE_6,municipio_cod_7,municipio_nome,populacao
410010,4100103,Abatiá - PR,7271
410020,4100202,Adrianópolis - PR,6327
410030,4100301,Agudos do Sul - PR,10646
410040,4100400,Almirante Tamandaré - PR,124788
410045,4100459,Altamira do Paraná - PR,3543
410050,4100509,Altônia - PR,18750
410060,4100608,Alto Paraná - PR,14138
410070,4100707,Alto Piquiri - PR,9802
410080,4100806,Alvorada do Sul - PR,10478
410090,4100905,Amaporã - PR,4736
410100,4101002,Ampére - PR,20199
410105,4101051,Anahy - PR,2965
410110,4101101,Andirá - PR,20044
410115,4101150,Ângulo - PR,3332
410120,4101200,Antonina - PR,18223
410130,4101309,Antônio Olinto - PR,7071
410140,4101408,Apucarana - PR,134306
410150,4101507,Arapongas - PR,123863
410160,4101606,Arapoti - PR,26310
410165,4101655,Arapuã - PR,3573
410170,4101705,Araruna - PR,14824
410180,4101804,Araucária - PR,160038
410185,4101853,Ariranha do Ivaí - PR,2351
410190,4101903,Assaí - PR,13643
410200,4102000,Assis Chateaubriand - PR,38105
410210,4102109,Astorga - PR,26145
410220,4102208,Atalaia - PR,4045
410230,4102307,Balsa Nova - PR,13871
410240,4102406,Bandeirantes - PR,31807
410250,4102505,Barbosa Ferraz - PR,10692
410260,4102604,Barracão - PR,9900
410270,4102703,Barra do Jacaré - PR,2866
410275,4102752,Bela Vista da Caroba - PR,4100
410280,4102802,Bela Vista do Paraíso - PR,14998
410290,4102901,Bituruna - PR,15689
410300,4103008,Boa Esperança - PR,4622
410302,4103024,Boa Esperança do Iguaçu - PR,2448
410304,4103040,Boa Ventura de São Roque - PR,6244
410305,4103057,Boa Vista da Aparecida - PR,8034
410310,4103107,Bocaiúva do Sul - PR,13804
410315,4103156,Bom Jesus do Sul - PR,4061
410320,4103206,Bom Sucesso - PR,6677
410322,4103222,Bom Sucesso do Sul - PR,3234
410330,4103305,Borrazópolis - PR,7824
410335,4103354,Braganey - PR,4802
410337,4103370,Brasilândia do Sul - PR,3828
410340,4103404,Cafeara - PR,2655
410345,4103453,Cafelândia - PR,19844
410347,4103479,Cafezal do Sul - PR,4561
410350,4103503,Califórnia - PR,8921
410360,4103602,Cambará - PR,23430
410370,4103701,Cambé - PR,111009
410380,4103800,Cambira - PR,9899
410390,4103909,Campina da Lagoa - PR,15979
410395,4103958,Campina do Simão - PR,3973
410400,4104006,Campina Grande do Sul - PR,49971
410405,4104055,Campo Bonito - PR,4032
410410,4104105,Campo do Tenente - PR,7666
410420,4104204,Campo Largo - PR,142695
410425,4104253,Campo Magro - PR,31555
410430,4104303,Campo Mourão - PR,103340
410440,4104402,Cândido de Abreu - PR,15255
410442,4104428,Candói - PR,15174
410445,4104451,Cantagalo - PR,10799
410450,4104501,Capanema - PR,21022
410460,4104600,Capitão Leônidas Marques - PR,14796
410465,4104659,Carambeí - PR,24159
410470,4104709,Carlópolis - PR,17567
410480,4104808,Cascavel - PR,364104
410490,4104907,Castro - PR,75291
410500,4105003,Catanduvas - PR,10627
410510,4105102,Centenário do Sul - PR,10936
410520,4105201,Cerro Azul - PR,16240
410530,4105300,Céu Azul - PR,11251
410540,4105409,Chopinzinho - PR,21559
410550,4105508,Cianorte - PR,82359
410560,4105607,Cidade Gaúcha - PR,11684
410570,4105706,Clevelândia - PR,14975
410580,4105805,Colombo - PR,240720
410590,4105904,Colorado - PR,23278
410600,4106001,Congonhinhas - PR,8442
410610,4106100,Conselheiro Mairinck - PR,3486
410620,4106209,Contenda - PR,19827
